id,company,title,location,source,url,posted_at,keywords,score,status,created_at,updated_at,notes
ab-6a658ed7-c8c8-4f58-aa24-2dc8a44911d7,ramp,Lifecycle Marketing Analyst,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/6a658ed7-c8c8-4f58-aa24-2dc8a44911d7,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-d2164968-84c9-4b27-b61a-62bb944d29cb,ramp,"Manager, Account Executive | Mid-Market","New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d2164968-84c9-4b27-b61a-62bb944d29cb,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-9acd0e5e-50aa-40e2-9d87-d097d8b54bff,ramp,Manager | Field Marketing,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/9acd0e5e-50aa-40e2-9d87-d097d8b54bff,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-f564dcf9-9390-4a3f-896f-8047a5086040,ramp,Mobile Engineer | Android,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/f564dcf9-9390-4a3f-896f-8047a5086040,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-4859cd5e-f2a9-44d7-81f7-8bfc0e62369f,ramp,Mobile Engineer | iOS,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/4859cd5e-f2a9-44d7-81f7-8bfc0e62369f,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-8351732a-cfca-4403-b85b-2d20ffff2cb9,ramp,Paid Ads Creative Designer | Contract,Remote (US),ashby,https://jobs.ashbyhq.com/ramp/job/8351732a-cfca-4403-b85b-2d20ffff2cb9,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b55447c0-4adc-42eb-9ca2-f88fd44e0e5b,ramp,Partner Development Representative | Accounting ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/b55447c0-4adc-42eb-9ca2-f88fd44e0e5b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-b8b546cc-0e4b-4f38-916b-bb17f718b95b,ramp,Partner Development Representative | Alliances ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/b8b546cc-0e4b-4f38-916b-bb17f718b95b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-503b53ff-7986-4657-a5f6-0779559999ac,ramp,Partner Development Representative | Financial Institutions,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/503b53ff-7986-4657-a5f6-0779559999ac,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-ce7ac24a-2941-4daf-a762-359d16885240,ramp,Partnerships Manager,"San Francisco, CA",ashby,https://jobs.ashbyhq.com/ramp/job/ce7ac24a-2941-4daf-a762-359d16885240,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
